,ZIP,Warehouse Name,distance_mi,LAT,LNG
0,59001,SLC1,350.53117879489935,45.530271,-109.549201
1,59002,SLC1,398.91977618170404,46.02303,-108.665969
2,59003,SLC1,435.39295625005656,45.443118,-106.198168
3,59006,SLC1,405.86810035157276,45.92083,-108.08888
4,59007,SLC1,334.2813375829911,45.133827,-109.116339
5,59008,SLC1,330.50502932254585,45.061726,-109.08775
6,59010,SLC1,430.59477777061124,45.992528,-107.298731
7,59011,SLC1,369.8250724784565,45.924721,-109.948625
8,59012,SLC1,418.88111069925435,45.274927,-106.440183
9,59013,SLC1,354.8426630491559,45.456107,-109.087117
10,59014,SLC1,346.18519621500997,45.193946,-108.759696
11,59015,SLC1,397.99324914748036,46.054068,-108.803789
12,59016,SLC1,408.2693845756429,45.392677,-106.947306
13,59018,SLC1,358.0270964908224,45.856895,-110.538014
14,59019,SLC1,364.4712862821752,45.651783,-109.217531
15,59020,SLC1,313.91294753647963,45.108212,-110.10097
16,59022,SLC1,405.6335554643839,45.537869,-107.287695
17,59024,SLC1,433.98747505990883,46.278426,-107.807114
18,59025,SLC1,403.5405726546451,45.114341,-106.658087
19,59026,SLC1,363.25397762023607,45.485364,-108.78437
20,59027,SLC1,312.7873279047844,45.242152,-110.912914
21,59028,SLC1,332.96735036504595,45.302411,-109.713862
22,59029,SLC1,358.2077882587383,45.407971,-108.79881
23,59030,SLC1,307.77320517743397,45.104515,-110.518994
24,59031,SLC1,399.96487474224585,45.502652,-107.414858
25,59032,SLC1,461.3211523799163,47.024621,-108.703075
26,59033,SLC1,360.67362136247783,45.729131,-109.707454
27,59034,SLC1,402.99389685619815,45.697037,-107.694239
28,59035,SLC1,372.0643107790556,45.282975,-107.96319
29,59036,SLC1,406.8262590612577,46.480275,-109.933967
30,59037,SLC1,396.37690121701087,45.823982,-108.242236
31,59038,SLC1,445.0094269385967,46.203822,-107.20961
32,59039,SLC1,470.8125345007038,46.686774,-107.291122
33,59041,SLC1,360.96011861924876,45.522024,-108.991456
34,59043,SLC1,425.11018577432384,45.550792,-106.676383
35,59044,SLC1,373.3608926437344,45.630153,-108.728479
36,59046,SLC1,415.70377415418983,46.398482,-109.015696
37,59047,SLC1,336.83721361311035,45.547407,-110.571191
38,59050,SLC1,382.3747391864564,45.252966,-107.547277
39,59052,SLC1,336.74723663553937,45.465798,-110.145521
40,59053,SLC1,399.50088884778114,46.459883,-110.460616
41,59054,SLC1,457.2724065699224,46.644538,-107.74878
42,59055,SLC1,383.95423556706675,46.108998,-109.809893
43,59057,SLC1,382.8176664899655,45.853502,-108.933193
44,59058,SLC1,488.48535786185346,47.147005,-107.717565
45,59059,SLC1,435.53745791915793,46.407918,-108.072627
46,59061,SLC1,327.6156712775761,45.266327,-109.890082
47,59062,SLC1,420.21925563127917,45.093741,-106.15024
48,59063,SLC1,370.9419356440153,45.66079,-108.926709
49,59064,SLC1,402.5081948838291,45.816613,-107.97643
50,59065,SLC1,316.70954192842174,45.271428,-110.715081
51,59066,SLC1,360.7452012453668,45.335867,-108.510337
52,59067,SLC1,386.6120432046815,46.000389,-109.217637
53,59068,SLC1,326.38848852188164,45.119295,-109.446002
54,59069,SLC1,370.0336915341865,45.820354,-109.500979
55,59070,SLC1,347.7390478749135,45.375173,-109.185802
56,59071,SLC1,330.82791814727756,45.245737,-109.631142
57,59072,SLC1,429.2642325230593,46.47069,-108.545903
58,59074,SLC1,407.6080773186446,46.36306,-109.353209
59,59075,SLC1,381.20639193962876,45.405332,-107.88361
60,59076,SLC1,452.951469043186,46.278749,-107.073952
61,59077,SLC1,493.13390781401756,47.16507,-107.556356
62,59078,SLC1,401.6488213815328,46.333651,-109.610551
63,59079,SLC1,407.9350549577713,46.062118,-108.363307
64,59081,SLC1,309.4922391236291,45.00832,-109.973513
65,59082,SLC1,354.0467019332622,45.743008,-110.225288
66,59085,SLC1,393.22331445505813,46.323039,-110.187818
67,59086,SLC1,372.27301146207844,46.071952,-110.564091
68,59087,SLC1,477.6571935975615,47.141917,-108.226575
